1326.6 0
1328.4 1
1330.2 1
1332 0
1333.8 1
1335.6 0
1337.4 1
1339.2 1
1341 1
1342.8 1
1344.6 2
1346.4 0
1348.2 1
1350 1
1351.8 3
1353.6 1
1355.4 0
1357.2 0
1359 0
1360.8 0
1362.6 1
1364.4 2
1366.2 2
1368 1
1369.8 2
1371.6 0
1373.4 0
1375.2 0
1377 2
1378.8 1
1380.6 0
1382.4 2
1384.2 2
1386 0
1387.8 3
1389.6 1
1391.4 1
1393.2 2
1395 1
1396.8 1
1398.6 0
1400.4 3
1402.2 1
1404 3
1405.8 4
1407.6 0
1409.4 0
1411.2 1
1413 1
1414.8 1
1416.6 1
1418.4 1
1420.2 2
1422 1
1423.8 1
1425.6 0
1427.4 1
1429.2 0
1431 0
1432.8 1
1434.6 0
1436.4 2
1438.2 0
1440 0
